node_id,reviewer_id,first_cycle,second_cycle,residu,category,first_sentiment_score,second_sentiment_score,overall_sentiment_score,first_rating,second_rating,overall_rating
173,37,other,other,"{'third', 'ups'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
174,37,line,situation,"{'third', 'ups'}",place and service,0.25,0.36666666666666664,0.3671497584541063,1.75,1.6,1.893719806763285
175,37,time,service,"{'third', 'ups'}",place and service,0.3,0.35353535353535354,0.3671497584541063,1.4,2.0707070707070705,1.893719806763285
176,38,staff,service,{'centre'},place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
177,38,job,other,{'centre'},other,0.75,0.8359375,0.8359375,2.0,1.953125,1.953125
178,38,other,other,{'centre'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
179,39,food,food,{'awesome'},food and drink,0.5,0.3516483516483517,0.3739130434782609,2.7,2.0549450549450547,2.0
180,39,service,service,{'awesome'},place and service,0.4375,0.35353535353535354,0.3671497584541063,2.625,2.0707070707070705,1.893719806763285
181,39,other,other,{'awesome'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
182,40,sandwich,food,"{'pay', 'spicey', 'crispy', 'deluxe'}",food and drink,0.0,0.3516483516483517,0.3739130434782609,3.0,2.0549450549450547,2.0
